"fylke","01 Bolig eller sentrumsformål","02 Fritidsbebyggelse","03 Tjenesteyting","04 Handel","05 Turistformål","06 Næringsvirksomhet","07 Råstoffutvinning","08 Kombinerte formål","09 Idrettsanlegg","10 Andre formål","11 Samferdselsanlegg","16 Havner og småbåthavner","13 Forsvaret","total"
"Agder",39,142,5.5,0.4,4.7,19.7,6.5,4.2,23.1,8.9,32.8,1.5,0,288.3
"Innlandet",79,189.1,7.2,1.6,13.6,29.3,23.8,15.2,61.9,31.2,40.6,0,0.7,493.3
"Møre og romsdal",35.6,55.4,3.9,0.5,5.9,33.2,6.5,3.9,19.7,21.3,12.8,4.3,0,203
"Nordland",29.6,75.5,4.5,1,5.8,23.4,31.7,7.3,15.1,28.7,46.5,9.2,0.3,278.7
"Rogaland",20.4,33.4,4.4,0.1,2.1,19,19.5,2.9,9.1,22.4,12.2,1.4,0.1,147.1
"Troms og finnmark",57.6,75.9,5.6,0.5,20.2,28.6,29,10.5,15.6,30.9,38.1,4,0.2,316.8
"Trøndelag",49.5,156.3,2.8,0.7,4.9,29.2,35.4,12.5,30.4,165.8,34.1,4.2,0,526
"Vestfold og telemark",23.3,86.3,3.6,2.3,5.8,16.9,15,7.1,22.4,6.7,21,0.8,0,211.1
"Vestland",58.3,55.9,6.2,0.7,5,32.8,8.7,12.3,47.1,35.4,22.2,17.2,0.1,301.8
"Viken",60.8,116.8,11,0.5,7.6,27.5,17.2,14.4,62.4,15.4,41.5,0.5,0.4,375.9
"Total",453,986.6,54.7,8.3,75.8,259.6,193.3,90.2,306.7,366.7,301.9,43.2,1.8,3141.9
